Id,Name,Categories,Last_modified
5902802802576,Soda oczyszczona spożywcza bez antyzbrylaczy – 1000g,Dodatki do żywności | Środki przeciwzbrylające | Wodorowęglany sodu,1764700717
8711327672499,Pistachio Delight – Carte d’Or,desery | mrożonki | desery mrożone | lody i sorbety | lody | lody w pudełku,1770035808
5908230536007,Beef Jerky – Tarczyński,Suszona wołowina,1764700717
2228326001442,Ser włoszczowski – Auchan,produkty mleczne | produkty fermentowane | produkty mleczne fermentowane | sery,1764700717
5449000314741,Cola zero kofeiny 0.85 – Coca-Cola,napoje | napoje gazowane | napoje słodzone | napoje dietetyczne | napoje cola,1764700717
5201360655373,"G – Bake Rolls,7 Days – 150g",przekąski | słone przekąski | chipsy i frytki | chipsy,1770035808
5900303003607,"Orzeszki arachidowe w czekoladzie. – Magnetic,Eurohansa – 500 g",przekąski | słodkie przekąski | kakao i produkty pochodne | produkty cukiernicze | orzeszki ziemne pokryte czekoladą,1764700717
5907554477454,Milk chocolate-covered banana – Biedronka – 180 g,produkty roślinne | przekąski | produkty na bazie owoców i warzyw | słodkie przekąski | słodycze | produkty na bazie owoców | suszone produkty | suszone produkty roślinne | suszone owoce | suszone banany,1764700717
5904215134251,Tost pełnoziarnisty – Auchan – 500 g,chleby,1764700717
3577060000136,Popcorn – 100  g,popcorn,1770035808
25026290,Almond Drink unsweetened – Milsa,produkty roślinne | napoje | zamienniki nabiału | zamienniki mleka | napoje roślinne | mleka roślinne,1764700717
5900531003400,"Jogurt typu greckiego z jagodami 2,4% tłuszczu – Piątnica – 150 g",produkty mleczne | produkty fermentowane | produkty mleczne fermentowane | desery | desery mleczne | desery mleczne fermentowane | jogurty,1764700717
20355944,"Jabłka – La-Sad – 1,5 kg",produkty roślinne | produkty na bazie owoców i warzyw | produkty na bazie owoców | owoce | jabłka,1764700717
5900238965421,Suszone jabłko o smaku ananasa – Crispy natural – 18g,produkty roślinne | produkty na bazie warzyw i owoców | produkty na bazie owoców | suszone produkty | produkty roślinne suszone | suszone owoce,1764700717
5900617040053,Almond Butter,produkty roślinne | smarowidła | orzechy i produkty pochodne | roślinne smarowidła | puree z nasion oleistych | masła orzechowe | masła migdałowe,1764700717
6424453000204,Tudia lapte,mleka,1764700717
5900541007375,Żywiec Zdrój Sparkles. Napój gazowany o smaku agrestu i czarnej porzeczki. – Żywiec Zdrój – 330 ml,napoje i bazy do napojów | napoje | przekąski | słodkie przekąski | produkty cukiernicze | napoje gazowane,1764700717
5900956100593,Herbapol Maliny – Herbapol – 420ml,napoje i składniki do napojów | napoje | przekąski | słodkie przekąski | cukierki | słodziki | syropy,1764700717
4820162520279,Jabłkowo-śliwkowe Przekąski – Bob Snail – 30g,przekąski | słodkie przekąski,1764700717
4820162520316,Jabłkowo-truskawkowe przekąski – Bob Snail – 30 g,przekąski | słodkie przekąski,1764700717
00043892,Ciastka Fox party – Party,przekąski | słodkie przekąski | ciastka i ciasta | herbatniki,1764700717
0012485958004,Maltesers – Maltesers,przekąski | słodkie przekąski | kakao i produkty pochodne | produkty cukiernicze | czekoladki | cukierki,1764700717
00132040,Knoppers – Storck,przekąski | słodkie przekąski | ciastka i ciasta | wyroby piekarnicze | gofry,1764700717
0024059625137,Xxl Siringe Jam Blueberry – Profisa,przekąski | słodkie przekąski | cukierki,1764700717
0024446654320,Mini croissants with coca filling – 7 Days,przekąski | słodkie przekąski | rogaliki i ciastka francuskie | rogaliki | rogaliki nadziewane,1764700717
0028916261537,Maltesers – Maltesers,przekąski | słodkie przekąski | kakao i produkty pochodne | produkty cukiernicze | czekoladki | cukierki,1764700717
0029944681199,Orbit Peppermint 25 torebka – Orbit,przekąski | słodkie przekąski | produkty cukiernicze | guma do żucia,1764700717
00304243,Koalas march – Lotte – 37 g,przekąski | słodkie przekąski | ciastka i ciasta | herbatniki,1764700717
0034044001471,Reeses sticks – Reese's – 42 g,przekąski | słodkie przekąski | produkty cukiernicze,1764700717
00390689,Reeses big cup – Reese's,przekąski | słodkie przekąski | produkty cukiernicze,1764700717
0040000541349,"Hazelnut spread chocolate candies, hazelnut spread – m&m's – 235.3 g",przekąski | śniadania | dodatki do chleba | słodkie przekąski | kakao i produkty pochodne | słodycze | słodkie smarowidła | czekoladki | praliny | cukierki | orzechy i owoce pokryte czekoladą | orzechy pokryte czekoladą | kremy z orzechów laskowych | orzeszki ziemne w polewie,1764700717
0040820484727,Ferrero collection 24szt – Ferrero,przekąski | słodkie przekąski | kakao i produkty pochodne | produkty cukiernicze | czekoladki | cukierki,1764700717
00441379,Oreo mini,przekąski | słodkie przekąski | ciastka i ciasta | herbatniki,1764700717
0069014460187,Skittles fioletowe,przekąski | słodkie przekąski | produkty cukiernicze | cukierki,1764700717
0072965552511,Salt water taffy autumn mix – 20 oz,przekąski | słodkie przekąski | słodycze,1764700717
0093702003325,Jaffa cake minis Orange – K-Classic – 150 g,przekąski | słodkie przekąski | ciastka i ciasta | herbatniki | ciastka nadziewane | delicje,1764700717
0188119740519,haribo Easter-Egg – pudełko – 600g,przekąski | słodkie przekąski | produkty cukiernicze | cukierki | żelki,1764700717
0200030154289,Marshmallow,przekąski | słodkie przekąski | słodycze | cukierki | marshmallow,1764700717
0401400438620,Knoppers – Knoppers,przekąski | słodkie przekąski | ciastka i ciasta | wyroby piekarnicze | gofry,1764700717
04040439,schogetten – opakowanie – 100g,przekąski | słodkie przekąski | kakao i produkty pochodne | czekolady | czekolady mleczne,1764700717
